,timestamp 25-06-2021 02:18:30,MAC address,Epoch 0
0,,00000000000b11000011,
1,,00000000b10001011101,
2,,00000000b11101001001,
3,,00000000b11111101001,
4,,0000000b100011111000,
5,,0000000b100101111011,
6,,0000000b101010000010,
7,,0000000b101011010101,
8,,0000000b110000101011,
9,,0000000b110010001011,
10,,0000000b110011101111,
11,,0000000b111011101010,
12,,000000b1001010010011,
13,,000000b1001100000011,
14,,000000b1001100111011,
15,,000000b1001110001100,
16,,000000b1011011100000,
17,,000000b1100100101011,
18,,000000b1100100110111,
19,,000000b1110010010011,
20,,000000b1111101111011,
21,,00000b10010010001000,
22,,00000b10100000000001,
23,,00000000000b11000011,
24,,00000000b10001011101,
25,,00000000b11101001001,
26,,00000000b11111101001,
27,,0000000b100011111000,
28,,0000000b100101111011,
29,,0000000b101010000010,
30,,0000000b101011010101,
31,,0000000b110000101011,
32,,0000000b110010001011,
33,,0000000b110011101111,
34,,0000000b111011101010,
35,,000000b1001010010011,
36,,000000b1001100000011,
37,,000000b1001100111011,
38,,000000b1001110001100,
39,,000000b1011011100000,
40,,000000b1100100101011,
41,,000000b1100100110111,
42,,000000b1110010010011,
43,,000000b1111101111011,
44,,00000b10010010001000,
45,,00000b10100000000001,
46,,00000000000b11000011,
47,,00000000b10001011101,
48,,00000000b11101001001,
49,,00000000b11111101001,
50,,0000000b100011111000,
51,,0000000b100101111011,
52,,0000000b101010000010,
53,,0000000b101011010101,
54,,0000000b110000101011,
55,,0000000b110010001011,
56,,0000000b110011101111,
57,,0000000b111011101010,
58,,000000b1001010010011,
59,,000000b1001100000011,
60,,000000b1001100111011,
61,,000000b1001110001100,
62,,000000b1011011100000,
63,,000000b1100100101011,
64,,000000b1100100110111,
65,,000000b1110010010011,
66,,000000b1111101111011,
67,,00000b10010010001000,
68,,00000b10100000000001,
