,timestamp 23-06-2021 21:22:15,MAC address,Epoch 4
0,,0000000b100000110110,
1,,0000000b100010101011,
2,,0000000b100101100110,
3,,0000000b101100100011,
4,,0000000b110001000011,
5,,0000000b111010111111,
6,,000000b1000010000110,
7,,000000b1001001100011,
8,,000000b1001011100011,
9,,000000b1001101111001,
10,,000000b1001110001010,
11,,000000b1011100011011,
12,,000000b1110001001110,
13,,000000b1110011011101,
14,,000000b1111001101111,
15,,000000b1111111101101,
16,,0000000b100000110110,
17,,0000000b100010101011,
18,,0000000b100101100110,
19,,0000000b101100100011,
20,,0000000b110001000011,
21,,0000000b111010111111,
22,,000000b1000010000110,
23,,000000b1001001100011,
24,,000000b1001011100011,
25,,000000b1001101111001,
26,,000000b1001110001010,
27,,000000b1011100011011,
28,,000000b1110001001110,
29,,000000b1110011011101,
30,,000000b1111001101111,
31,,000000b1111111101101,
32,,0000000b100000110110,
33,,0000000b100010101011,
34,,0000000b100101100110,
35,,0000000b101100100011,
36,,0000000b110001000011,
37,,0000000b111010111111,
38,,000000b1000010000110,
39,,000000b1001001100011,
40,,000000b1001011100011,
41,,000000b1001101111001,
42,,000000b1001110001010,
43,,000000b1011100011011,
44,,000000b1110001001110,
45,,000000b1110011011101,
46,,000000b1111001101111,
47,,000000b1111111101101,
